Name;Type;DLL;SymbolOrOrdinal
WTSConnectSessionA;code;WTSAPI32.dll;
WTSConnectSessionW;code;WTSAPI32.dll;
WTSCreateListenerA;code;WTSAPI32.dll;
WTSCreateListenerW;code;WTSAPI32.dll;
WTSDisconnectSession;code;WTSAPI32.dll;
WTSEnableChildSessions;code;WTSAPI32.dll;
WTSEnumerateListenersA;code;WTSAPI32.dll;
WTSEnumerateListenersW;code;WTSAPI32.dll;
WTSEnumerateProcessesA;code;WTSAPI32.dll;
WTSEnumerateProcessesExA;code;WTSAPI32.dll;
WTSEnumerateProcessesExW;code;WTSAPI32.dll;
WTSEnumerateProcessesW;code;WTSAPI32.dll;
WTSEnumerateServersA;code;WTSAPI32.dll;
WTSEnumerateServersW;code;WTSAPI32.dll;
WTSEnumerateSessionsA;code;WTSAPI32.dll;
WTSEnumerateSessionsExA;code;WTSAPI32.dll;
WTSEnumerateSessionsExW;code;WTSAPI32.dll;
WTSEnumerateSessionsW;code;WTSAPI32.dll;
WTSFreeMemory;code;WTSAPI32.dll;
WTSFreeMemoryExA;code;WTSAPI32.dll;
WTSFreeMemoryExW;code;WTSAPI32.dll;
WTSGetChildSessionId;code;WTSAPI32.dll;
WTSGetListenerSecurityA;code;WTSAPI32.dll;
WTSGetListenerSecurityW;code;WTSAPI32.dll;
WTSIsChildSessionsEnabled;code;WTSAPI32.dll;
WTSLogoffSession;code;WTSAPI32.dll;
WTSOpenServerA;code;WTSAPI32.dll;
WTSOpenServerExA;code;WTSAPI32.dll;
WTSOpenServerExW;code;WTSAPI32.dll;
WTSOpenServerW;code;WTSAPI32.dll;
WTSQueryListenerConfigA;code;WTSAPI32.dll;
WTSQueryListenerConfigW;code;WTSAPI32.dll;
WTSQuerySessionInformationA;code;WTSAPI32.dll;
WTSQuerySessionInformationW;code;WTSAPI32.dll;
WTSQueryUserConfigA;code;WTSAPI32.dll;
WTSQueryUserConfigW;code;WTSAPI32.dll;
WTSQueryUserToken;code;WTSAPI32.dll;
WTSRegisterSessionNotification;code;WTSAPI32.dll;
WTSRegisterSessionNotificationEx;code;WTSAPI32.dll;
WTSSendMessageA;code;WTSAPI32.dll;
WTSSendMessageW;code;WTSAPI32.dll;
WTSSetListenerSecurityA;code;WTSAPI32.dll;
WTSSetListenerSecurityW;code;WTSAPI32.dll;
WTSSetRenderHint;code;WTSAPI32.dll;
WTSSetSessionInformationA;code;WTSAPI32.dll;
WTSSetSessionInformationW;code;WTSAPI32.dll;
WTSSetUserConfigA;code;WTSAPI32.dll;
WTSSetUserConfigW;code;WTSAPI32.dll;
WTSShutdownSystem;code;WTSAPI32.dll;
WTSStartRemoteControlSessionA;code;WTSAPI32.dll;
WTSStartRemoteControlSessionW;code;WTSAPI32.dll;
WTSStopRemoteControlSession;code;WTSAPI32.dll;
WTSTerminateProcess;code;WTSAPI32.dll;
WTSUnRegisterSessionNotification;code;WTSAPI32.dll;
WTSUnRegisterSessionNotificationEx;code;WTSAPI32.dll;
WTSVirtualChannelClose;code;WTSAPI32.dll;
WTSVirtualChannelOpen;code;WTSAPI32.dll;
WTSVirtualChannelOpenEx;code;WTSAPI32.dll;
WTSVirtualChannelPurgeInput;code;WTSAPI32.dll;
WTSVirtualChannelPurgeOutput;code;WTSAPI32.dll;
WTSVirtualChannelQuery;code;WTSAPI32.dll;
WTSVirtualChannelRead;code;WTSAPI32.dll;
WTSVirtualChannelWrite;code;WTSAPI32.dll;
WTSWaitSystemEvent;code;WTSAPI32.dll;
